cluster_id,cluster,keyword,search_intent,competitor_ranking_page,competitor_position,keyword_role,our_hub_url,target_type,recommended_asset,status,live_url,plan_day,published_date,cannibalization_note
C01,Superscript generator,superscript copy paste,commercial,smalltextgen.com/superscript-generator/,top 5,primary,/tools/superscript,Money page (primary target),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript converter,informational,smalltextgen.com/superscript-generator/,top 2,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,font superscript,informational,smalltextgen.com/superscript-generator/,top 2,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript numbers copy and paste,informational,smalltextgen.com/superscript-generator/,top 7,blog,/tools/superscript,Blog post,How to Type Superscript Numbers & Exponents (copy & paste),Live,https://smalltextgen.site/guides/superscript-numbers-exponents,,,
C01,Superscript generator,superscript and subscript generator,informational,smalltextgen.com/superscript-generator/,top 1,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,DUPLICATE: mapped to both /tools/superscript and /tools/subscript. Owner = /tools/superscript; subscript page links to it for combined queries.
C01,Superscript generator,unicode superscript generator,commercial,smalltextgen.com/superscript-generator/,top 4,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscripts copy and paste,informational,smalltextgen.com/superscript-generator/,top 5,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,th superscript copy,commercial,smalltextgen.com/superscript-generator/,top 6,blog,/tools/superscript,Blog post,How to Type Superscript Numbers & Exponents (copy & paste),Live,https://smalltextgen.site/guides/superscript-numbers-exponents,,,
C01,Superscript generator,supertext generator,informational,smalltextgen.com/superscript-generator/,top 3,secondary,/tools/superscript,Money page (secondary / on-page section),TOOL: /tools/superscript,Live,https://smalltextgen.site/tools/superscript,,,
C01,Superscript generator,superscript numbers copy paste,informational,smalltextgen.com/superscript-generator/,top 7,blog,/tools/superscript,Blog post,How to Type Superscript Numbers & Exponents (copy & paste),Live,https://smalltextgen.site/guides/superscript-numbers-exponents,,,
C01,Superscript generator,exponent text generator,informational,smalltextgen.com/superscript-generator/,top 4,blog,/tools/superscript,Blog post,How to Type Superscript Numbers & Exponents (copy & paste),Live,https://smalltextgen.site/guides/superscript-numbers-exponents,,,
